date,time,headline_raw
8/7/2026,4:30:15,Nasdaq sinks as AI worries hit chipmakers US STOCKS
8/7/2026,4:00:38,"S&P 500 ends down as AI worries hit chipmakers US STOCKS NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 317.05 POINTS, OR 1.21 PERCENT, AT 25,804.11"
8/7/2026,4:00:01,"S&P 500 .SPX UNOFFICIALLY CLOSES DOWN 34.50 POINTS, OR 0.46 PERCENT, AT 7,502.93"
8/7/2026,4:00:01,"DOW JONES .DJI UNOFFICIALLY CLOSES DOWN 109.46 POINTS, OR 0.21%, AT 52,946.45"
8/7/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES DOWN 134.26 POINTS, OR 0.25 PERCENT, AT 52,921.65"
8/7/2026,2:30:23,S&P 500 dips as AI worries hit chipmakers US STOCKS
8/7/2026,0:15:47,Nasdaq slides over 1% as chip rout deepens US STOCKS
7/7/2026,22:24:12,"S&P 500 down, Nasdaq slides as AI chip worries persist US STOCKS"
7/7/2026,21:55:47,"U.S. STOCKS EXTEND FALL, NASDAQ -IXIC DOWN 1.00%"
7/7/2026,21:55:47,"U.S. STOCKS EXTEND FALL, NASDAQ -IXIC DOWN 1.00 PCT"
7/7/2026,21:32:24,US STOCKS SNAPSHOT-Nasdagq falls at open as DeepSeek's AI chip push rattles markets
7/7/2026,21:30:30,"NASDAQ .IXIC DOWN 135.92 POINTS, OR 0.52 PERCENT, AT 25,985.24 AFTER MARKET OPEN"
7/7/2026,21:30:30,"DOW JONES .DJI UP 179.82 POINTS, OR 0.34 PERCENT, AT 53,235.73 AFTER MARKET OPEN"
7/7/2026,21:30:30,"S&P 500 .INX DOWN 6.38 POINTS, OR 0.08 %, AT 7,531.05 AFTER MARKET OPEN"
7/7/2026,21:30:30,"S&P 500 .INX DOWN 6.38 POINTS, OR 0.08 PERCENT, AT 7,531.05 AFTER MARKET OPEN"
7/7/2026,20:51:30,Nasdaq set to fall at open as DeepSeek's AI chip push rattles markets US STOCKS
7/7/2026,19:19:48,Nasdaq futures fall after record Samsung profit fails to calm AI chip worries US STOCKS
7/7/2026,17:25:20,Nasdaq futures fall after Samsung's record profit fails to allay chip jitters US STOCKS
7/7/2026,16:00:35,"U.S. S&P 500 E-MINI FUTURES DOWN 0.3%, NASDAQ 100 FUTURES DOWN 1%, DOW FUTURES UP 0.1%"
7/7/2026,4:22:51,"S&P 500, Nasdaq close sharply higher as Broadcom rallies US STOCKS"
7/7/2026,4:00:48,"S&P 500, Nasdaq close sharply higher as Broadcom rallies US STOCKS"
7/7/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 126.18 POINTS, OR 0.24%, AT 53,026.25"
7/7/2026,4:00:00,"S&P 500 .SPX UNOFFICIALLY CLOSES UP 55.08 POINTS, OR 0.74 PERCENT, AT 7,538.32"
7/7/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 139.66 POINTS, OR 0.26 PERCENT, AT 53,039.73"
7/7/2026,4:00:00,"NASDAQ .IXIC UNOFFICIALLY CLOSES UP 293.60 POINTS, OR 1.14 PERCENT, AT 26,126.27"
7/7/2026,2:23:36,Wall Street climbs as Broadcom and other chipmakers rally US STOCKS
7/7/2026,0:38:17,"S&P 500, Nasdaq rise as chips recover, Broadcom gains on Apple deal US STOCKS"
6/7/2026,22:41:50,"S&P 500, Nasdaq gain as chip stocks rebound US STOCKS"
6/7/2026,21:50:52,"U.S. STOCKS EXTEND GAINS, NASDAQ -IXIC UP 1.00%"
6/7/2026,21:50:52,"U.S. STOCKS EXTEND GAINS, NASDAQ -IXIC UP 1.00 PCT"
6/7/2026,21:34:19,US STOCKS SNAPSHOT-Wall St opens higher as chip shares recover
6/7/2026,21:30:30,"NASDAQ .IXIC UP 195.92 POINTS, OR 0.76 PERCENT, AT 26,028.59 AFTER MARKET OPEN"
6/7/2026,21:30:30,"DOW JONES .DJI UP 92.14 POINTS, OR 0.17 PERCENT, AT 52,992.21 AFTER MARKET OPEN"
6/7/2026,21:30:30,"S&P 500 .INX UP 35.53 POINTS, OR 0.47 %, AT 7,518.77 AFTER MARKET OPEN"
6/7/2026,21:30:30,"S&P 500 .INX UP 35.53 POINTS, OR 0.47 PERCENT, AT 7,518.77 AFTER MARKET OPEN S&P 500, Nasdaq set for higher open as chip shares recover US STOCKS"
6/7/2026,19:48:16,"S&P 500, Nasdaq futures rise as chip shares rebound US STOCKS US stock futures up as chip shares recover, oil prices decline US STOCKS"
6/7/2026,16:01:58,"U.S. S&P 500 E-MINI FUTURES UP 0.5%, NASDAQ 100 FUTURES UP 1%, DOW FUTURES UP 0.2%"
3/7/2026,5:21:05,"Dow jumps to record closing high after soft US jobs data, Nasdaq down with chip shares US STOCKS"
3/7/2026,5:00:39,"Dow jumps, posts record closing high after soft US jobs data US STOCKS"
3/7/2026,4:01:03,"UNOFFICIALLY, FOR THE WEEK, THE S&P 500 GAINED 1.75%, THE NASDAQ ROSE 2.12%, AND THE DOW CLIMBED 1.97%"
3/7/2026,4:01:03,"DOW INDUSTRIALS RECORD FOURTH STRAIGHT WEEK OF GAINS, LONGEST STREAK SINCE OCTOBER 2024"
3/7/2026,4:00:56,Nasdaq ends lower with tech; investors assess softer jobs data US STOCKS
3/7/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 584.79 POINTS, OR 1.12 PERCENT, AT 52,890.03"
3/7/2026,4:00:00,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 211.10 POINTS, OR 0.81 PERCENT, AT 25,828.94"
3/7/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 565.44 POINTS, OR 1.08%, AT 52,870.68"
3/7/2026,4:00:00,"S&P 500 .SPX UNOFFICIALLY CLOSES DOWN 0.62 POINTS, OR 0.01 PERCENT, AT 7,482.61"
3/7/2026,3:54:33,"U.S. STOCKS EXTEND GAINS, DOW JONES .DJI UP 1.00%"
3/7/2026,3:54:33,"U.S. STOCKS EXTEND GAINS, DOW JONES .DJI UP 1.00 PCT"
3/7/2026,2:29:27,"Nasdaq, S&P 500 decline with tech; investors assess softer jobs data US STOCKS U.S. STOCKS EXTEND FALL, NASDAQ -IXIC DOWN 1.00%"
3/7/2026,0:23:38,"U.S. STOCKS EXTEND FALL, NASDAQ -IXIC DOWN 1.00 PCT"
3/7/2026,0:16:40,Wall St mixed as investors assess softer jobs data US STOCKS
2/7/2026,22:07:27,Wall St rises as softer jobs data calms rate-hike fears US STOCKS
